month,chance_X,precip_req_cm
15oct-30nov,1,0.1
1nov-30nov,1,0.1
15oct-30nov,1,0.15000000000000002
1nov-30nov,1,0.15000000000000002
15oct-30nov,1,0.2
1nov-30nov,1,0.2
15oct-30nov,1,0.25
1nov-30nov,1,0.25
15oct-30nov,1,0.30000000000000004
1nov-30nov,0.967741935483871,0.30000000000000004
15oct-30nov,1,0.35
1nov-30nov,0.967741935483871,0.35
15oct-30nov,1,0.4
1nov-30nov,0.967741935483871,0.4
15oct-30nov,1,0.45000000000000007
1nov-30nov,0.9354838709677419,0.45000000000000007
15oct-30nov,1,0.5
1nov-30nov,0.9354838709677419,0.5
15oct-30nov,1,0.55
1nov-30nov,0.9354838709677419,0.55
15oct-30nov,1,0.6
1nov-30nov,0.9032258064516129,0.6
15oct-30nov,1,0.65
1nov-30nov,0.8709677419354839,0.65
15oct-30nov,1,0.7000000000000001
1nov-30nov,0.8709677419354839,0.7000000000000001
15oct-30nov,1,0.75
1nov-30nov,0.8709677419354839,0.75
15oct-30nov,1,0.8
1nov-30nov,0.8709677419354839,0.8
15oct-30nov,1,0.85
1nov-30nov,0.8709677419354839,0.85
15oct-30nov,1,0.9
1nov-30nov,0.8709677419354839,0.9
15oct-30nov,1,0.9500000000000001
1nov-30nov,0.8709677419354839,0.9500000000000001
15oct-30nov,1,1
1nov-30nov,0.8709677419354839,1
15oct-30nov,0.967741935483871,1.05
1nov-30nov,0.8709677419354839,1.05
15oct-30nov,0.967741935483871,1.1
1nov-30nov,0.8709677419354839,1.1
15oct-30nov,0.967741935483871,1.1500000000000001
1nov-30nov,0.8387096774193549,1.1500000000000001
15oct-30nov,0.967741935483871,1.2000000000000002
1nov-30nov,0.8387096774193549,1.2000000000000002
15oct-30nov,0.967741935483871,1.2500000000000002
1nov-30nov,0.8387096774193549,1.2500000000000002
15oct-30nov,0.967741935483871,1.3000000000000003
1nov-30nov,0.8387096774193549,1.3000000000000003
15oct-30nov,0.967741935483871,1.35
1nov-30nov,0.8387096774193549,1.35
15oct-30nov,0.967741935483871,1.4000000000000001
1nov-30nov,0.8387096774193549,1.4000000000000001
15oct-30nov,0.967741935483871,1.4500000000000002
1nov-30nov,0.8387096774193549,1.4500000000000002
